취미이름,취미코드
DIY,H0001
가죽공예,H0002
걷기,H0003
게이밍,H0004
경쟁취미,H0005
계보학,H0006
고래관광,H0007
골동품,H0008
골프,H0009
궁술,H0010
권투,H0011
글쓰기,H0012
금속탐지,H0013
기상학,H0014
낙서,H0015
네트볼,H0016
농구,H0017
다트,H0018
단파청취,H0019
달리기,H0020
당구,H0021
도예,H0022
동전수집,H0023
드라마,H0024
등반,H0025
등산,H0026
디스크골프,H0027
디지털아트,H0028
뜨개질,H0029
라켓볼,H0030
라크로스,H0031
래프팅,H0032
레고조립,H0033
레이스제작,H0034
레이싱카트,H0035
롤러더비,H0036
롤러스케이팅,H0037
마술,H0038
마술(말),H0039
마작,H0040
모터스포츠,H0041
모형항공기,H0042
목각,H0043
목공,H0044
무예,H0045
물수제비,H0046
미니어처카 수집,H0047
미식축구,H0048
바느질,H0049
바둑,H0050
박제,H0051
배구,H0052
배낭여행,H0053
배드민턴,H0054
배턴트월링,H0055
베이스점핑,H0056
보드게임,H0057
보디빌딩,H0058
브라질리안 주짓수,H0059
비디오게임,H0060
비치발리볼,H0061
빙상스케이트,H0062
사격,H0063
사냥,H0064
사진술,H0065
샌드아트,H0066
세일링,H0067
쇼핑,H0068
수상스포츠,H0069
수영,H0070
스노보드,H0071
스카이다이빙,H0072
스케이트보딩,H0073
스케치,H0074
스쿼시,H0075
스키,H0076
스탠드업코미디,H0077
스포츠스태킹,H0078
스피드스케이팅,H0079
슬래클라이닝,H0080
십자수,H0081
아마추어무선,H0082
아마추어천문학,H0083
아이스하키,H0084
악기연주,H0085
암벽등반,H0086
암호학,H0087
애완동물,H0088
야구,H0089
양봉,H0090
양액재배,H0091
어로,H0092
얼티밋프리스비,H0093
에어소프트,H0094
여행,H0095
연기(예술),H0096
영화보기,H0097
오리엔티어링,H0098
오스트레일리안풋볼,H0099
요가,H0100
요요,H0101
우표수집,H0102
원반장난감,H0103
웨이트리프팅,H0104
웹서핑,H0105
위키백과 편집,H0106
유도,H0107
음악듣기,H0108
일렉트로닉스,H0109
읽기,H0110
자동차경주,H0111
자동차운전,H0112
자수,H0113
자전거타기,H0114
저글링,H0115
점성술,H0116
정원가꾸기,H0117
조각,H0118
종이접기,H0119
지오캐싱,H0120
직소퍼즐,H0121
천문학관찰,H0122
체스,H0123
체조,H0124
축구,H0125
춤,H0126
카바디,H0127
카이트서핑,H0128
캘리그래피,H0129
컬링,H0130
코스프레,H0131
크리켓,H0132
탐조,H0133
태권도,H0134
태극권,H0135
태팅,H0136
테니스,H0137
테이블풋볼,H0138
텔레비전시청,H0139
트라이애슬론,H0140
트레이딩카드,H0141
파도타기,H0142
파쿠르,H0143
퍼즐,H0144
페인트볼,H0145
펜싱,H0146
폴로,H0147
프로그래밍,H0148
플라잉,H0149
피겨스케이팅,H0150
필드하키,H0151
하이킹,H0152
항공스포츠,H0153
핸드볼,H0154
현수하강,H0155
회화,H0156
휴가,H0157
